geoName,geoCode,Cactus,Tomorrowland,Blanket,Eiffel Tower,Spaghetti,Picasso,Whiskey,League of Legends,Elephant,Macbook,Vietnam War,Downton Abbey,Seinfeld,The Beatles,Orange Juice,NFL,Miles Davis,Koala,Samosa,Rubik's Cube,Romania,Microwave,Kleenex,Samsung,Pinterest,Bacon,Inception
Indiana,IN,0.06896551724137931,0.3908045977011494,0.694915254237288,0.19999999999999996,0.4285714285714286,0.5348837209302327,0.32608695652173897,0.30769230769230776,0.7999999999999998,0.2499999999999999,0.5625000000000001,0.30769230769230776,0.37333333333333335,0.5849056603773586,0.625,0.3492063492063492,0.28,0.6200000000000001,0.36666666666666664,0.5312499999999999,0.17910447761194032,0.8275862068965516,0.3294117647058824,0.5652173913043479,0.5098039215686274,0.6122448979591838,0.3582089552238805
Iowa,IA,0.10344827586206896,0.264367816091954,0.7457627118644067,0.21249999999999997,0.46428571428571414,0.2325581395348839,0.45652173913043476,0.3692307692307692,0.7000000000000002,0.23214285714285704,0.7291666666666666,0.38461538461538475,0.3466666666666667,0.5283018867924528,0.575,0.5555555555555555,0.39,0.8,0.4222222222222222,0.7031250000000001,0.08955223880597016,0.9310344827586207,0.39999999999999997,0.5434782608695653,0.8627450980392157,0.9387755102040816,0.26865671641791045
Kansas,KS,0.1149425287356322,0.1954022988505747,0.6440677966101696,0.17500000000000002,0.4285714285714286,0.4186046511627908,0.4347826086956521,0.3538461538461538,0.7333333333333335,0.3035714285714285,0.6666666666666666,0.23076923076923075,0.30666666666666664,0.43396226415094336,0.8499999999999999,0.5238095238095237,1.0,0.8999999999999999,0.3555555555555555,0.6875000000000001,0.2537313432835821,0.7586206896551726,0.3058823529411765,0.8478260869565218,0.7843137254901961,0.6938775510204082,0.32835820895522394
Kentucky,KY,0.04597701149425288,0.21839080459770116,0.6271186440677966,0.11249999999999996,0.48214285714285704,0.5116279069767443,0.4347826086956521,0.2615384615384616,0.7999999999999998,0.19642857142857148,0.3749999999999999,0.3653846153846155,0.16,0.43396226415094336,0.6,0.11111111111111112,0.33,0.5,0.32222222222222224,0.421875,0.11940298507462682,0.6206896551724139,0.25882352941176473,0.5652173913043479,0.5490196078431373,0.6122448979591838,0.20895522388059698
Louisiana,LA,0.034482758620689655,0.3448275862068965,0.3728813559322034,0.13749999999999998,0.8571428571428571,0.04651162790697678,0.08695652173913028,0.1692307692307693,0.2333333333333335,0.23214285714285704,0.0,0.17307692307692302,0.17333333333333334,0.13207547169811332,0.325,0.5555555555555555,0.44,0.1399999999999999,0.2333333333333333,0.21875000000000003,0.07462686567164178,0.5172413793103449,0.22352941176470592,0.5,0.4313725490196078,0.22448979591836732,0.2985074626865672
Maine,ME,0.06896551724137931,0.2413793103448276,0.6440677966101696,0.049999999999999975,0.21428571428571436,0.8372093023255816,0.21739130434782605,0.2461538461538462,0.5333333333333333,0.5892857142857143,0.5833333333333334,0.9807692307692307,0.4533333333333333,0.9433962264150942,0.625,0.5714285714285714,0.0,0.6200000000000001,0.4111111111111111,0.640625,0.3134328358208956,0.724137931034483,0.2705882352941177,0.4347826086956521,0.7450980392156863,0.7346938775510204,0.34328358208955234
Maryland,MD,0.0,0.49425287356321845,0.3220338983050847,0.18749999999999994,0.16071428571428575,0.5348837209302327,0.1739130434782608,0.4153846153846154,0.3999999999999999,0.48214285714285704,0.4166666666666666,0.40384615384615374,0.4000000000000001,0.30188679245283023,0.6,0.6666666666666667,0.5,0.48,0.8111111111111111,0.40625,0.28358208955223885,0.5517241379310345,0.24705882352941178,0.5,0.15686274509803913,0.2653061224489796,0.417910447761194
Massachusetts,MA,0.022988505747126426,0.5402298850574713,0.4745762711864406,0.2375,0.0,0.8372093023255816,0.1739130434782608,0.4461538461538462,0.3666666666666669,0.7142857142857142,0.39583333333333326,1.0,0.6933333333333334,0.7358490566037735,0.37500000000000006,0.4761904761904763,0.78,0.56,0.6777777777777777,0.421875,0.3582089552238805,0.48275862068965514,0.21176470588235297,0.28260869565217395,0.2156862745098039,0.2653061224489796,0.6567164179104479
Michigan,MI,0.04597701149425288,0.367816091954023,0.6779661016949153,0.15,0.33928571428571425,0.3488372093023256,0.32608695652173897,0.3692307692307692,0.5,0.3214285714285714,0.3541666666666665,0.40384615384615374,0.37333333333333335,0.45283018867924524,0.5000000000000001,0.22222222222222224,0.55,0.43999999999999995,0.5777777777777778,0.43750000000000006,0.46268656716417916,0.7586206896551726,0.4235294117647059,0.5434782608695653,0.4313725490196078,0.5306122448979592,0.4776119402985075
Minnesota,MN,0.05747126436781608,0.3908045977011494,0.7118644067796609,0.19999999999999996,0.3035714285714285,0.3488372093023256,0.4347826086956521,0.46153846153846156,0.4333333333333333,0.39285714285714285,0.6874999999999999,0.4807692307692307,0.4000000000000001,0.4716981132075471,0.5000000000000001,0.6984126984126985,0.46,0.6399999999999999,0.9333333333333332,0.609375,0.17910447761194032,0.724137931034483,0.5176470588235293,0.47826086956521735,0.5490196078431373,0.673469387755102,0.5522388059701492
